Country,Authors,Year,Title,Journal or book,Volume,Pages,Theory,Practice,Water,Energy,Financial,Environment,Mining,Industrial,Services/Public,Procurement,Health,Transport,Other
IN,"Sharma, A., Bawa, R.K.",2017,"A multilevel hybrid approach for selection of agile development method using AHP, PROMETHEE and fuzzy logic.",Structural Integrity and Life, 26(5), 921–934.,0,1,0,0,0,0,0,0,1,0,0,0,0
IN,"Sharma, D., Pandey, A., Kumar, C., Ranjan, R.K.",2019,Assessment & anthology of sustainable sources of energy using an approach of PROMETHEE.,IOP Conference Series: Materials Science and Engineering,691(1),.,0,1,0,1,0,1,0,0,0,0,0,0,0
AU,"Sharma, A.K., Grant, A.L., Grant, T., Pamminger, F., Opray, L.",2009,Environmental and Economic Assessment of Urban Water Services for a Greenfield Development., Environmental Engineering Science,17(1),49-54.,0,1,1,0,0,1,0,0,0,0,0,0,0
IN,"Sharma, H., Tandon, A., Aggarwal, A.G.",2020,Ranking Hotels Based on Online Hotel Attribute Ratings Using Neutrosophic AHP and Stochastic Dominance.,Lecture Notes in Electrical Engineering,601,872-878.,0,1,0,0,0,0,0,0,1,0,0,0,0
IN,"Sharma, S.K., Mahapatra, S.S., Parappagoudar, M.B.",2016,Benchmarking of product recovery alternatives in reverse logistics.,Benchmarking,23(2),406-424.,0,1,0,0,0,0,0,0,1,0,0,0,0
CN,"Shen, F., Xu, J., Xu, Z.",2015,An outranking sorting method for multi-criteria group decision making using intuitionistic fuzzy sets.,Information Sciences,in Press,.,1,0,0,0,0,0,0,0,0,0,0,0,0
CN,"Shen, X., Huang, D., Zhang, C., Hu, K.",2017,"Performance Evaluation of Constructed Wetlands Treating Wastewater Treatment Plant Effluent in Taihu Lake, China.",Clean Soil Air Water,46(1),.,0,1,1,0,0,0,0,0,0,0,0,0,0
CN,"Shengmei, L., Su, P., Zhengkun, M.",2012,Research on vertical handoff decision based on PROMETHEE algorithm for heterogeneous wireless networks.,International Journal of Advancements in Computing Technology,4(17),334-342.,0,1,0,0,0,0,0,0,1,0,0,0,0
IR,"Sheykhan, A., Zakeri, S., Abbasi, H., Mousavi, M.H.",2014,"A Proposed Framework for Selection and Prioritization of the Best Strategies: A Hybrid SWOT Analysis, Fuzzy PROMETHEE II and Porter's Generic Strategies.",Research Journal of Environmental and Earth Sciences,6(6),313-320.,0,1,0,0,0,1,0,0,0,0,0,0,0
TW,"Shih, H-S., Chang, Y-T., Cheng, C-P.",2016,A Generalized PROMETHEE III with Risk Preferences on Losses and Gains.,International Journal of Information and Management Science,27(6),117-127.,1,1,0,0,0,1,0,0,0,0,0,0,0
IN,"Shimin, V.V., Shah, V.A., Lokhande, M.M.",2017,Electric vehicle batteries: A selection based on PROMETHEE method.,7th IEEE Power India International Conference - PIICON 2016,2016,.,0,1,0,0,0,0,0,1,0,0,0,0,0
IR,"Shirazi, H., Kia, R., Ghamesi, P.",2020,Ranking of hospitals in the case of COVID-19 outbreak: A new integrated approach using patient satisfaction criteria.,International Journal of Healthcare Management,in Press,.,0,1,0,0,0,0,0,0,0,0,1,0,0
IR,"Shirinfar, M., Haleh, H.",2011,Supplier Selection and Evaluation by Fuzzy Multi-Criteria Decision Making Methodology.,International Journal of Industrial Engineering & Production Research,22(4),271-280.,0,1,0,0,0,0,0,1,0,0,0,0,0
